1916 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Bloomsburg-Berwick, PA, Metropolitan Statistical Area",63335,689,29098,203,0,739,45.9,296,0,162
"Bluefield, WV-VA, Micropolitan Statistical Area",63317,688,22968,255,0,895,36.3,577,0,262
"Blytheville, AR, Micropolitan Statistical Area",30468,434,12174,475,0,788,40.0,470,0,763
"Bogalusa, LA, Micropolitan Statistical Area",18886,223,8270,619,0,430,43.8,360,0,417
"Boise City, ID, Metropolitan Statistical Area",63705,692,15294,380,0,497,24.0,796,0,116
"Boone, IA, Micropolitan Statistical Area",27626,373,7700,638,0,506,27.9,735,0,791
"Boone, NC, Micropolitan Statistical Area",13556,134,6519,680,0,636,48.1,236,0,828
"Borger, TX, Micropolitan Statistical Area",892,12,136,895,0,511,15.2,861,0,375
"Boston-Cambridge-Newton, MA-NH, Metropolitan Statistical Area",2260762,894,1253878,3,0,13,55.5,110,0,440
"Boulder, CO, Metropolitan Statistical Area",30330,430,11217,505,0,878,37.0,557,0,183
"Bowling Green, KY, Metropolitan Statistical Area",71735,722,31606,181,0,673,44.1,350,0,377
"Bozeman, MT, Micropolitan Statistical Area",14079,142,3887,785,0,71,27.6,741,0,809
"Bradford, PA, Micropolitan Statistical Area",47868,603,18645,311,0,221,39.0,501,0,856
"Brainerd, MN, Micropolitan Statistical Area",28481,386,8714,603,0,366,30.6,693,0,665
"Branson, MO, Micropolitan Statistical Area",20693,256,2787,825,0,231,13.5,873,0,423
"Breckenridge, CO, Micropolitan Statistical Area",2003,16,162,894,0,507,8.1,885,0,471
"Bremerton-Silverdale, WA, Metropolitan Statistical Area",17647,202,3186,810,0,171,18.1,848,0,323
"Brenham, TX, Micropolitan Statistical Area",25561,340,14098,410,0,593,55.2,112,0,448
"Brevard, NC, Micropolitan Statistical Area",7191,56,3719,797,0,119,51.7,168,0,624
"Bridgeport-Stamford-Norwalk, CT, Metropolitan Statistical Area",245322,851,153235,38,0,152,62.5,56,0,225
"Brookhaven, MS, Micropolitan Statistical Area",28597,389,12727,454,0,725,44.5,332,0,305
"Brookings, OR, Micropolitan Statistical Area",2044,17,91,896,0,515,4.5,886,0,475
"Brookings, SD, Micropolitan Statistical Area",14178,145,5270,733,0,795,37.2,549,0,151
"Brownsville-Harlingen, TX, Metropolitan Statistical Area",27158,364,20422,286,0,121,75.2,22,0,89
"Brownwood, TX, Micropolitan Statistical Area",22935,296,8710,604,0,370,38.0,530,0,75
"Brunswick, GA, Metropolitan Statistical Area",22162,277,12884,451,0,716,58.1,85,0,340
"Bucyrus, OH, Micropolitan Statistical Area",34036,491,17146,340,0,337,50.4,191,0,693
"Buffalo-Cheektowaga-Niagara Falls, NY, Metropolitan Statistical Area",621021,881,379785,12,0,49,61.2,66,0,264
"Burley, ID, Micropolitan Statistical Area",7197,57,10342,539,0,110,143.7,1,0,5
"Burlington, IA-IL, Micropolitan Statistical Area",45869,588,19056,306,0,201,41.5,420,0,613
"Burlington, NC, Metropolitan Statistical Area",28712,391,12948,449,0,710,45.1,320,0,257
